,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,53.22,66,0,21.85,AR,1701984712
1,namibe,-15.1961,12.1522,73.71,77,98,5.97,AO,1701984904
2,whitehorse,60.7161,-135.0538,28.02,79,75,15.01,CA,1701984904
3,mangrol,21.1167,70.1167,71.24,57,1,11.48,IN,1701984904
4,soc trang,9.6033,105.98,76.32,85,88,8.46,VN,1701984904
5,wailua homesteads,22.0669,-159.378,79.23,77,75,5.75,US,1701984803
6,hawaiian paradise park,19.5933,-154.9731,80.11,81,75,13.8,US,1701984904
7,ha'il,27.5219,41.6907,60.82,44,0,4.61,SA,1701984905
8,nova sintra,14.8667,-24.7167,71.47,71,100,8.95,CV,1701984905
9,san mateo ixtacalco,19.6997,-99.1783,60.55,56,100,6.22,MX,1701984905
10,kirensk,57.7853,108.1119,-48.03,100,97,1.99,RU,1701984905
11,avarua,-21.2078,-159.775,78.85,69,75,16.11,CK,1701984905
12,lau,9.2167,11.2833,78.64,17,8,3.27,NG,1701984905
13,port-aux-francais,-49.35,70.2167,38.26,96,96,30.69,TF,1701984906
14,new norfolk,-42.7826,147.0587,58.91,40,100,2.21,AU,1701984906
15,hadibu,12.65,54.0333,76.68,68,92,13.71,YE,1701984906
16,waitangi,-43.9535,-176.5597,57.81,68,90,16.31,NZ,1701984906
17,gazojak,41.1875,61.4036,32.52,33,100,14.03,TM,1701984906
18,constantia,44.1833,28.65,34.7,94,100,18.81,RO,1701984812
19,olonkinbyen,70.9221,-8.7187,28.51,78,9,12.95,SJ,1701984907
20,puerto natales,-51.7236,-72.4875,60.26,58,70,6.35,CL,1701984756
21,minas de marcona,-15.2119,-75.1103,65.95,62,16,14.97,PE,1701984907
22,talnakh,69.4865,88.3972,-28.46,87,25,2.95,RU,1701984907
23,loreto,22.2667,-101.9667,62.91,53,71,10.71,MX,1701984907
24,blackmans bay,-43.0167,147.3167,57.72,79,100,3.87,AU,1701984908
25,puerto ayora,-0.7393,-90.3518,84.16,93,94,5.01,EC,1701984908
26,el calafate,-50.3408,-72.2768,62.47,44,44,6.69,AR,1701984908
27,yanggu,36.1106,115.7753,47.89,46,0,7.11,CN,1701984908
28,magong,23.5654,119.5863,69.8,69,18,12.41,TW,1701984909
29,tazovsky,67.4667,78.7,-16.11,97,83,11.1,RU,1701984909
30,myeik,12.4333,98.6,75.72,89,17,4.47,MM,1701984909
31,tofol,5.3248,163.0078,82.83,80,100,16.98,FM,1701984909
32,west island,-12.1568,96.8225,78.78,83,75,14.97,CC,1701984910
33,taber,49.8167,-112.1518,35.8,90,100,17.27,CA,1701984910
34,albany,42.6001,-73.9662,29.73,86,94,2.55,US,1701984634
35,beruniy,41.6911,60.7525,24.76,58,0,13.8,UZ,1701984910
36,ust-nera,64.5667,143.2,-29.94,94,100,4.29,RU,1701984910
37,sheridan,44.8333,-106.9173,48.58,69,0,16.11,US,1701984911
38,grytviken,-54.2811,-36.5092,31.12,91,57,11.61,GS,1701984911
39,ilulissat,69.2167,-51.1,26.62,63,20,0.0,GL,1701984911
40,lihue,21.9789,-159.3672,79.84,71,75,5.75,US,1701984911
41,dauphin,51.1494,-100.0502,35.74,100,75,11.5,CA,1701984911
42,sarakhs,36.5449,61.1577,51.71,44,100,3.51,IR,1701984912
43,piti village,13.4626,144.6933,82.45,81,40,10.36,GU,1701984912
44,adamstown,-25.066,-130.1015,73.22,75,47,11.61,PN,1701984912
45,carnarvon,-24.8667,113.6333,69.48,70,0,22.26,AU,1701984912
46,yellowknife,62.456,-114.3525,12.72,92,100,6.91,CA,1701984728
47,callaway,30.153,-85.5699,62.53,59,75,4.61,US,1701984913
48,kastamonu,41.5,33.6667,41.2,89,94,2.75,TR,1701984913
49,iqaluit,63.7506,-68.5145,4.73,77,20,17.27,CA,1701984913
50,ribeira grande,38.5167,-28.7,64.8,88,75,25.99,PT,1701984914
51,thompson,55.7435,-97.8558,19.56,100,75,2.3,CA,1701984743
52,al ghayzah,16.2079,52.176,75.61,56,58,3.8,YE,1701984914
53,anuradhapura,8.3565,80.4173,75.02,97,99,1.14,LK,1701984914
54,aasiaat,68.7098,-52.8699,10.58,86,100,1.72,GL,1701984914
55,san patricio,28.017,-97.5169,74.53,60,95,15.68,US,1701984915
56,papatowai,-46.5619,169.4708,58.46,56,99,9.51,NZ,1701984915
57,nova xavantina,-14.6667,-52.35,91.29,32,68,2.1,BR,1701984915
58,valverde del camino,37.5751,-6.7543,58.1,98,100,2.71,ES,1701984915
59,san antonio de pale,-1.4014,5.6325,79.16,82,93,7.4,GQ,1701984916
60,amble,55.3333,-1.5833,44.74,87,100,29.93,GB,1701984916
61,edinburgh of the seven seas,-37.0676,-12.3116,58.84,85,99,16.37,SH,1701984916
62,zhaotong,27.3167,103.7167,44.22,91,33,4.83,CN,1701984916
63,happy valley-goose bay,53.3168,-60.3315,23.31,63,100,17.27,CA,1701984916
64,borrazopolis,-23.9411,-51.5875,71.06,95,97,2.73,BR,1701984917
65,bethel,41.3712,-73.414,37.22,77,100,3.44,US,1701984917
66,sodra sandby,56.5667,16.6167,35.89,94,100,6.8,SE,1701984917
67,trincomalee,8.5711,81.2335,80.15,84,100,7.36,LK,1701984917
68,st. john's,47.5649,-52.7093,28.89,92,100,17.27,CA,1701984918
69,invercargill,-46.4,168.35,60.12,55,95,7.7,NZ,1701984687
70,acarau,-2.8856,-40.12,80.37,79,16,17.36,BR,1701984919
71,sitka,57.0531,-135.33,39.09,87,75,0.0,US,1701984800
72,dellys,36.9172,3.9131,59.7,55,82,6.24,DZ,1701984919
73,dzhalagash,45.0833,64.6667,25.29,42,100,16.93,KZ,1701984919
74,margaret river,-33.95,115.0667,58.03,69,2,9.95,AU,1701984920
75,almaty,43.25,76.95,26.51,86,100,4.47,KZ,1701984834
76,necochea,-38.5473,-58.7368,60.22,58,0,11.7,AR,1701984920
77,fale old settlement,-9.3852,-171.2468,84.65,71,96,8.34,TK,1701984920
78,amga,60.8953,131.9608,-27.02,98,100,3.36,RU,1701984920
79,axim,4.8699,-2.2405,80.28,80,74,6.98,GH,1701984921
80,tarhuna,32.435,13.6332,54.23,73,21,8.97,LY,1701984921
81,badger,64.8,-147.5333,1.31,78,0,8.05,US,1701984921
82,aldan,58.6031,125.3894,-35.28,100,100,1.14,RU,1701984921
83,kill devil hills,36.0307,-75.676,48.22,50,0,11.5,US,1701984720
84,tocopilla,-22.092,-70.1979,68.72,65,21,10.56,CL,1701984713
85,embi,48.8264,58.1442,12.43,77,100,12.12,KZ,1701984923
86,fort bragg,35.139,-79.006,54.18,38,0,10.36,US,1701984923
87,petropavlovsk-kamchatsky,53.0452,158.6483,18.45,72,75,5.01,RU,1701984923
88,gemena,3.25,19.7667,71.73,97,100,2.64,CD,1701984924
89,papao,-17.75,-149.55,83.88,78,88,20.58,PF,1701984924
90,villa de soto,-30.8552,-64.9995,82.4,24,37,16.13,AR,1701984924
91,morondava,-20.2833,44.2833,80.17,85,44,7.07,MG,1701984924
92,aksu,41.1231,80.2644,36.46,37,100,1.3,CN,1701984924
93,isafjordur,66.0755,-23.124,28.81,78,93,10.8,IS,1701984925
94,ciampea,-6.5547,106.7008,83.25,89,100,2.48,ID,1701984925
95,zaghouan,36.4029,10.1429,48.06,85,0,3.06,TN,1701984925
96,jamestown,42.097,-79.2353,40.59,80,100,4.61,US,1701984867
97,vega de alatorre,20.0333,-96.6333,71.74,86,95,4.23,MX,1701984926
98,labytnangi,66.6572,66.4183,-6.72,86,100,8.61,RU,1701984926
99,san giorgio di nogaro,45.8336,13.2158,41.05,80,3,5.75,IT,1701984926
100,mugia,43.1041,-9.2179,59.16,78,93,23.55,ES,1701984927
101,nema,57.5067,50.5011,-24.48,100,7,3.09,RU,1701984927
